,daily.returns,daily.returns o,1+r,1+r O,cumulative returns,cumulative returnsO,
91,-0.013243153,-0.011856896,0.986756847,0.988143104,-26%,-27%,
92,0.025709599,0.023193851,1.025709599,1.023193851,-24%,-25%,
93,0.015701172,0.019228903,1.015701172,1.019228903,-23%,-24%,
94,0.000626591,0.000333273,1.000626591,1.000333273,-23%,-24%,
95,-0.003353806,-0.003513182,0.996646194,0.996486818,-23%,-24%,
96,0.005475333,0.004937813,1.005475333,1.004937813,-22%,-24%,
97,-0.004195416,-0.004734322,0.995804584,0.995265678,-23%,-24%,
98,-0.000210188,-0.000286641,0.999789812,0.999713359,-23%,-24%,
99,0.020798524,0.023788739,1.020798524,1.023788739,-21%,-22%,
100,-0.001108542,-0.000791478,0.998891458,0.999208522,-21%,-22%,
101,0.038222236,0.037503593,1.038222236,1.037503593,-18%,-19%,
102,0.02844114,0.025950654,1.02844114,1.025950654,-16%,-17%,
103,-0.00402487,-0.003071544,0.99597513,0.996928456,-16%,-17%,
104,0.011210794,0.009999921,1.011210794,1.009999921,-15%,-17%,
105,0.03043072,0.035398788,1.03043072,1.035398788,-13%,-14%,
106,0.000564129,0.00043759,1.000564129,1.00043759,-13%,-14%,
107,-0.008770391,-0.008745195,0.991229609,0.991254805,-13%,-14%,
108,0.011987828,0.010730074,1.011987828,1.010730074,-12%,-13%,
109,-0.003374756,-0.0031194,0.996625244,0.9968806,-13%,-14%,
110,-0.005773595,-0.005133642,0.994226405,0.994866358,-13%,-14%,
111,0.007423987,0.002553313,1.007423987,1.002553313,-12%,-14%,
112,0.01781275,0.016108773,1.01781275,1.016108773,-11%,-13%,
113,0.000439286,0.00028565,1.000439286,1.00028565,-11%,-13%,
114,0.008301178,0.007631696,1.008301178,1.007631696,-10%,-12%,
115,0.0310321,0.03290039,1.0310321,1.03290039,-7%,-9%,
116,0.028336372,0.024963031,1.028336372,1.024963031,-5%,-7%,
117,-0.004828143,-0.006297132,0.995171857,0.993702868,-5%,-7%,
118,-0.013951124,-0.012917543,0.986048876,0.987082457,-7%,-9%,
119,2.05915E-05,-0.00245823,1.000020592,0.99754177,-7%,-9%,
120,0.023664342,0.021879362,1.023664342,1.021879362,-4%,-7%,
121,-0.007867876,-0.011450356,0.992132124,0.988549644,-5%,-8%,
122,-0.001482801,-0.001310623,0.998517199,0.998689377,-5%,-8%,
123,0.018342918,0.016859048,1.018342918,1.016859048,-3%,-6%,
124,-0.008639908,-0.007694671,0.991360092,0.992305329,-4%,-7%,
125,0.007848034,0.010023626,1.007848034,1.010023626,-4%,-6%,
126,0.003556448,0.003329288,1.003556448,1.003329288,-3%,-6%,
127,0.008256535,0.006864914,1.008256535,1.006864914,-2%,-5%,
128,-0.005024581,-0.00473335,0.994975419,0.99526665,-3%,-6%,
129,0.018386315,0.021403138,1.018386315,1.021403138,-1%,-4%,
130,0.003034685,0.003055004,1.003034685,1.003055004,-1%,-3%,
131,0.005193612,0.003356833,1.005193612,1.003356833,0%,-3%,
132,-0.013796422,-0.012411207,0.986203578,0.987588793,-2%,-4%,
133,0.010319844,0.012204773,1.010319844,1.012204773,-1%,-3%,
134,0.004750004,0.004106985,1.004750004,1.004106985,0%,-3%,
135,0.010199394,0.008784478,1.010199394,1.008784478,1%,-2%,
136,6.36556E-05,0.000122661,1.000063656,1.000122661,1%,-2%,
137,0.000126534,-2.21206E-05,1.000126534,0.999977879,1%,-2%,
138,0.001341774,0.001368124,1.001341774,1.001368124,1%,-2%,
139,0.0142824,0.013977703,1.0142824,1.013977703,2%,0%,
140,0.008327964,0.007494839,1.008327964,1.007494839,3%,0%,
141,-0.010150384,-0.009914039,0.989849616,0.990085961,2%,-1%,
142,0.019879661,0.018041609,1.019879661,1.018041609,4%,1%,
143,0.017382759,0.021918738,1.017382759,1.021918738,6%,3%,
144,0.01669952,0.01499493,1.01669952,1.01499493,8%,5%,
145,0.043948105,0.057086698,1.043948105,1.057086698,13%,11%,
146,0.023720805,0.021637192,1.023720805,1.021637192,15%,13%,
147,0.006410861,0.005815741,1.006410861,1.005815741,16%,14%,
148,0.023356561,0.02126492,1.023356561,1.02126492,19%,17%,
149,-0.001207592,0.001059869,0.998792408,1.001059869,19%,17%,
150,0.00722343,0.006603949,1.00722343,1.006603949,19%,17%,
151,0.037353064,0.035779933,1.037353064,1.035779933,24%,22%,
152,-0.019927771,-0.017781763,0.980072229,0.982218237,21%,19%,
153,0.002005487,-0.001791086,1.002005487,0.998208914,22%,19%,
154,0.022235167,0.020043489,1.022235167,1.020043489,24%,22%,
155,-0.021248128,-0.021596855,0.978751872,0.978403145,22%,19%,
156,0.006945199,0.006295894,1.006945199,1.006295894,23%,20%,
157,0.02918347,0.036485431,1.02918347,1.036485431,26%,24%,
158,0.013078272,0.011743891,1.013078272,1.011743891,28%,26%,
159,-0.004331311,-0.003458553,0.995668689,0.996541447,27%,25%,
160,0.020724606,0.01822593,1.020724606,1.01822593,30%,27%,
161,0.023068194,0.025996998,1.023068194,1.025996998,33%,31%,
162,0.01836608,0.01619027,1.01836608,1.01619027,35%,33%,
163,0.006471078,0.006954029,1.006471078,1.006954029,36%,34%,
164,0.005519624,0.004927136,1.005519624,1.004927136,37%,34%,
165,-0.012362633,-0.016115518,0.987637367,0.983884482,35%,32%,
166,-0.030598336,-0.027473945,0.969401664,0.972526055,31%,29%,
167,-0.008823927,-0.007492506,0.991176073,0.992507494,30%,28%,
168,-0.004998173,-0.004437932,0.995001827,0.995562068,29%,27%,
169,0.055409589,0.064304688,1.055409589,1.064304688,36%,35%,
170,-0.018913476,-0.016993082,0.981086524,0.983006918,34%,33%,
171,-0.006907359,-0.007694107,0.993092641,0.992305893,33%,32%,
172,0.002732501,0.002706845,1.002732501,1.002706845,33%,32%,
173,-0.013929344,-0.013823342,0.986070656,0.986176658,31%,30%,
174,0.020212742,0.018161333,1.020212742,1.018161333,34%,33%,
175,-0.002528591,-0.004494796,0.997471409,0.995505204,34%,32%,
176,0.057045002,0.051386767,1.057045002,1.051386767,41%,39%,
177,0.004390827,0.007063589,1.004390827,1.007063589,42%,40%,
178,-0.006622204,-0.005871321,0.993377796,0.994128679,41%,39%,
179,0.026213087,0.029629556,1.026213087,1.029629556,45%,43%,
180,0.018105912,0.016047255,1.018105912,1.016047255,47%,46%,
181,-0.033785656,-0.036898041,0.966214344,0.963101959,42%,40%,
182,-0.008529475,-0.008071001,0.991470525,0.991928999,41%,39%,
183,-0.013933468,-0.015318136,0.986066532,0.984681864,39%,37%,
184,-0.039114172,-0.035241461,0.960885828,0.964758539,34%,32%,
185,0.030970413,0.034920995,1.030970413,1.034920995,38%,37%,
186,0.034926246,0.032160245,1.034926246,1.032160245,43%,41%,
187,-0.007396281,-0.008825776,0.992603719,0.991174224,42%,40%,
188,-0.004734228,-0.004260721,0.995265772,0.995739279,41%,39%,
189,0.009959517,0.010947378,1.009959517,1.010947378,42%,41%,
190,0.035363203,0.03233276,1.035363203,1.03233276,48%,45%,
191,0.015561344,0.013514046,1.015561344,1.013514046,50%,47%,
192,0.004381322,0.003811928,1.004381322,1.003811928,50%,48%,
193,0.013565166,0.015333081,1.013565166,1.015333081,52%,50%,
194,-0.015295123,-0.014038054,0.984704877,0.985961946,50%,48%,
195,0.002529547,0.005130487,1.002529547,1.005130487,51%,49%,
196,0.010699603,0.009949247,1.010699603,1.009949247,52%,50%,
197,0.005997981,0.004544637,1.005997981,1.004544637,53%,51%,
198,-0.024763488,-0.022155777,0.975236512,0.977844223,49%,48%,
