,daily.returns O,daily.returns,,1+r ,1+r O,cumulative returns,cumulative returns O,
79,0.016589674,0.025310246,,1.025310246,1.016589674,-22.46%,-19.70%,
80,0.044409107,0.032999801,,1.032999801,1.044409107,-19.90%,-16.14%,
81,-0.032775926,-0.051899226,,0.948100774,0.967224074,-24.06%,-18.89%,
82,-0.008227816,-0.005561391,,0.994438609,0.991772184,-24.48%,-19.55%,
83,0.003782911,0.009541976,,1.009541976,1.003782911,-23.76%,-19.25%,
84,-0.000302988,-0.000506584,,0.999493416,0.999697012,-23.80%,-19.27%,
85,0.007514469,0.006630423,,1.006630423,1.007514469,-23.30%,-18.67%,
86,0.002857268,0.001861396,,1.001861396,1.002857268,-23.15%,-18.43%,
87,-0.000825472,-0.01148707,,0.98851293,0.999174528,-24.04%,-18.50%,
88,0.028261476,0.020525754,,1.020525754,1.028261476,-22.48%,-16.20%,
89,-0.020016705,-0.026970099,,0.973029901,0.979983295,-24.57%,-17.88%,
90,-0.00311952,-0.001889672,,0.998110328,0.99688048,-24.71%,-18.13%,
91,-0.013247845,-0.024712955,,0.975287045,0.986752155,-26.57%,-19.22%,
92,-0.004078296,-0.002298116,,0.997701884,0.995921704,-26.74%,-19.55%,
93,0.015066813,0.022460292,,1.022460292,1.015066813,-25.09%,-18.33%,
94,-0.003987632,-0.002606359,,0.997393641,0.996012368,-25.29%,-18.66%,
95,-0.010607807,-0.016169212,,0.983830788,0.989392193,-26.50%,-19.52%,
96,-0.023771782,-0.018937537,,0.981062463,0.976228218,-27.89%,-21.44%,
97,0.023578737,0.036311654,,1.036311654,1.023578737,-25.27%,-19.58%,
98,0.022504334,0.01738918,,1.01738918,1.022504334,-23.97%,-17.77%,
99,0.002721969,0.003297909,,1.003297909,1.002721969,-23.72%,-17.55%,
100,0.064781221,0.048260792,,1.048260792,1.064781221,-20.04%,-12.21%,
101,0.014376345,0.028597212,,1.028597212,1.014376345,-17.75%,-10.95%,
102,0.014908725,0.011056469,,1.011056469,1.014908725,-16.84%,-9.62%,
103,-0.000348293,0.000404605,,1.000404605,0.999651707,-16.81%,-9.65%,
104,0.010366388,0.007104698,,1.007104698,1.010366388,-16.22%,-8.71%,
105,-0.000480042,0.006397854,,1.006397854,0.999519958,-15.68%,-8.76%,
106,-0.024222436,-0.018183719,,0.981816281,0.975777564,-17.22%,-10.97%,
107,0.002947429,0.007115609,,1.007115609,1.002947429,-16.63%,-10.71%,
108,-0.02655572,-0.019331408,,0.980668592,0.97344428,-18.24%,-13.08%,
109,0.011771889,0.014975637,,1.014975637,1.011771889,-17.01%,-12.05%,
110,-0.019461007,-0.013966433,,0.986033567,0.980538993,-18.17%,-13.76%,
111,0.007007201,0.013846074,,1.013846074,1.007007201,-17.04%,-13.16%,
112,-0.009081705,-0.00675632,,0.99324368,0.990918295,-17.60%,-13.95%,
113,0.021524431,0.034342777,,1.034342777,1.021524431,-14.77%,-12.10%,
114,0.057089227,0.041755586,,1.041755586,1.057089227,-11.21%,-7.08%,
115,0.00745925,0.006843743,,1.006843743,1.00745925,-10.60%,-6.39%,
116,0.006836886,0.005451673,,1.005451673,1.006836886,-10.12%,-5.75%,
